sample_id,split,height,width,grayscale_min,grayscale_max,grayscale_mean,grayscale_std,highpass_min,highpass_max,highpass_mean,highpass_std,highpass_abs_mean,highpass_dtype,highpass_file,visualization_file,status
hamburg_000000_091900,train,1024,2048,0.0,1.0,0.38741087913513184,0.2051619440317154,-0.4908241629600525,0.49703681468963623,1.047715159074869e-07,0.026265641674399376,0.012729394249618053,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hamburg_000000_091900_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hamburg_000000_091900_comparison.png",PASS
hanover_000000_026743,train,1024,2048,0.0,1.0,0.3289971947669983,0.19322918355464935,-0.5313318967819214,0.5984600186347961,1.1471456673461944e-08,0.03631732612848282,0.020035015419125557,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hanover_000000_026743_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hanover_000000_026743_comparison.png",PASS
bremen_000054_000019,train,1024,2048,0.05830196291208267,1.0,0.254749596118927,0.10289093852043152,-0.29292550683021545,0.4887973368167877,-1.328265852862387e-07,0.02543068490922451,0.015803076326847076,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_bremen_000054_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_bremen_000054_000019_comparison.png",PASS
weimar_000017_000019,train,1024,2048,0.025552941486239433,1.0,0.3667789399623871,0.2239408791065216,-0.378240168094635,0.6324347257614136,1.1544761946424842e-07,0.04157960042357445,0.023981578648090363,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_weimar_000017_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_weimar_000017_000019_comparison.png",PASS
monchengladbach_000000_002255,train,1024,2048,0.0,1.0,0.34220176935195923,0.2399284988641739,-0.5234363675117493,0.5151407718658447,1.4412762538995594e-08,0.03463487699627876,0.01793728768825531,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_monchengladbach_000000_002255_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_monchengladbach_000000_002255_comparison.png",PASS
zurich_000052_000019,train,1024,2048,0.0400666669011116,1.0,0.32269251346588135,0.16865022480487823,-0.36882373690605164,0.5681792497634888,6.434856913983822e-08,0.03851986676454544,0.022350279614329338,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_zurich_000052_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_zurich_000052_000019_comparison.png",PASS
ulm_000069_000019,train,1024,2048,0.06545098125934601,1.0,0.2982839047908783,0.23423856496810913,-0.36139407753944397,0.524024248123169,9.031919034896418e-08,0.030514607205986977,0.015155840665102005,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_ulm_000069_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_ulm_000069_000019_comparison.png",PASS
strasbourg_000001_005289,train,1024,2048,0.0,1.0,0.3590359389781952,0.14587998390197754,-0.6574569940567017,0.44938236474990845,8.404185791732743e-09,0.019920337945222855,0.011050027795135975,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_strasbourg_000001_005289_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_strasbourg_000001_005289_comparison.png",PASS
bremen_000052_000019,train,1024,2048,0.050658825784921646,1.0,0.27575191855430603,0.11761530488729477,-0.3414141535758972,0.47706544399261475,4.798312147613615e-08,0.028461948037147522,0.01592957228422165,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_bremen_000052_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_bremen_000052_000019_comparison.png",PASS
hamburg_000000_071675,train,1024,2048,0.0,1.0,0.3269815444946289,0.1943606436252594,-0.5697751045227051,0.6491909027099609,1.567605067975819e-08,0.03175833076238632,0.01648826152086258,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hamburg_000000_071675_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hamburg_000000_071675_comparison.png",PASS
zurich_000069_000019,train,1024,2048,0.05878039821982384,1.0,0.3209194540977478,0.14528459310531616,-0.31418681144714355,0.5759139657020569,1.9279013940831646e-07,0.034556109458208084,0.022001227363944054,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_zurich_000069_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_zurich_000069_000019_comparison.png",PASS
hamburg_000000_018592,train,1024,2048,0.0,1.0,0.36172062158584595,0.24657213687896729,-0.7974061965942383,0.5816577076911926,1.3237786333775148e-07,0.04825141280889511,0.02984916791319847,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hamburg_000000_018592_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hamburg_000000_018592_comparison.png",PASS
cologne_000054_000019,train,1024,2048,0.05021176487207413,1.0,0.34330910444259644,0.21052581071853638,-0.36223942041397095,0.5526397228240967,5.395713742473163e-08,0.04031425341963768,0.022182650864124298,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_cologne_000054_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_cologne_000054_000019_comparison.png",PASS
hanover_000000_040051,train,1024,2048,0.0,1.0,0.33395570516586304,0.217069610953331,-0.7083843350410461,0.5555974245071411,1.7747515812516212e-07,0.03440262749791145,0.018350228667259216,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hanover_000000_040051_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hanover_000000_040051_comparison.png",PASS
hamburg_000000_088983,train,1024,2048,0.0,1.0,0.3407787084579468,0.19195985794067383,-0.5964126586914062,0.5284643173217773,1.5126261132536456e-08,0.03553055226802826,0.021710697561502457,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hamburg_000000_088983_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hamburg_000000_088983_comparison.png",PASS
tubingen_000052_000019,train,1024,2048,0.06125098466873169,1.0,0.33342331647872925,0.17861001193523407,-0.315290629863739,0.48609408736228943,-2.937949830084108e-07,0.03574168682098389,0.021527666598558426,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_tubingen_000052_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_tubingen_000052_000019_comparison.png",PASS
aachen_000041_000019,train,1024,2048,0.05340784415602684,1.0,0.22530853748321533,0.11561807245016098,-0.3939691185951233,0.512117326259613,1.0888470569625497e-08,0.031307969242334366,0.01602833904325962,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_aachen_000041_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_aachen_000041_000019_comparison.png",PASS
zurich_000041_000019,train,1024,2048,0.049933336675167084,1.0,0.2794407606124878,0.19734789431095123,-0.3493826687335968,0.4845702052116394,-1.288426574319601e-07,0.041056349873542786,0.023755036294460297,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_zurich_000041_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_zurich_000041_000019_comparison.png",PASS
hamburg_000000_027304,train,1024,2048,0.0,1.0,0.3678911030292511,0.22163470089435577,-0.764726996421814,0.6712889075279236,3.3000287658069283e-07,0.048845209181308746,0.027784008532762527,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_hamburg_000000_027304_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_hamburg_000000_027304_comparison.png",PASS
bremen_000217_000019,train,1024,2048,0.0541333369910717,1.0,0.27003616094589233,0.17977099120616913,-0.3927946984767914,0.46674203872680664,2.6657062335289083e-07,0.026154037564992905,0.013710523024201393,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_bremen_000217_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_bremen_000217_000019_comparison.png",PASS
tubingen_000056_000019,train,1024,2048,0.05716078728437424,1.0,0.32208868861198425,0.20264483988285065,-0.3729642629623413,0.544745922088623,1.987018549698405e-08,0.037724900990724564,0.020102031528949738,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_tubingen_000056_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_tubingen_000056_000019_comparison.png",PASS
strasbourg_000000_013223,train,1024,2048,0.0,1.0,0.35007810592651367,0.1910332292318344,-0.5967086553573608,0.5042911171913147,-6.890059012221172e-08,0.0243131872266531,0.01335509866476059,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_strasbourg_000000_013223_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_strasbourg_000000_013223_comparison.png",PASS
strasbourg_000001_024152,train,1024,2048,0.0,1.0,0.3471415936946869,0.19084741175174713,-0.6947169303894043,0.5510314106941223,-8.722327038412914e-08,0.03782004490494728,0.020984496921300888,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_strasbourg_000001_024152_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_strasbourg_000001_024152_comparison.png",PASS
zurich_000014_000019,train,1024,2048,0.04976470768451691,1.0,0.3287009596824646,0.23274588584899902,-0.3646470904350281,0.4714726507663727,5.433867045212537e-08,0.0378551185131073,0.020358454436063766,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_zurich_000014_000019_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_zurich_000014_000019_comparison.png",PASS
frankfurt_000000_012868,val,1024,2048,0.0,1.0,0.3569659888744354,0.25792962312698364,-0.5798313617706299,0.5704144239425659,3.553050191840157e-07,0.049349237233400345,0.03002949059009552,float32,"C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\arrays\step02_frankfurt_000000_012868_highpass.npy","C:\Documents\Year 4 , Term 1\object_localization_csr\outputs\step02_preprocessing\visualizations\step02_frankfurt_000000_012868_comparison.png",PASS
