class_id,class_name,filter_index,weight,abs_weight,feature_mean,feature_scale
1,person,1,0.056028977036476135,0.056028977036476135,6.0947662346878764e-05,0.002812923260971302
1,person,2,0.006100921891629696,0.006100921891629696,-2.104413495860815e-06,0.0020000855526391857
1,person,3,0.029023630544543266,0.029023630544543266,9.926235828886544e-06,0.0010282546492577829
1,person,4,-0.015912789851427078,0.015912789851427078,-9.693275957524176e-06,0.0014165373954745202
1,person,5,-0.009689879603683949,0.009689879603683949,-2.1565324345213483e-05,0.0017669123354313997
1,person,6,0.03559945523738861,0.03559945523738861,4.186368774321901e-05,0.0024568820628793923
1,person,7,0.03235501050949097,0.03235501050949097,8.04963906253961e-05,0.0025898097848201167
1,person,8,0.028440361842513084,0.028440361842513084,1.6726390065673428e-05,0.0013101629324874628
1,person,9,0.012052045203745365,0.012052045203745365,-2.9462564161201333e-06,0.0018150726359130536
1,person,10,0.016460925340652466,0.016460925340652466,2.8332552662318354e-05,0.0023298513022844904
1,person,11,-0.024362005293369293,0.024362005293369293,-2.584364605030303e-05,0.002634979454537665
1,person,12,0.030299078673124313,0.030299078673124313,0.00016050839976541257,0.0026520522345350214
1,person,13,-0.08879221975803375,0.08879221975803375,-0.0002008087547467232,0.0034505398321068065
1,person,14,-0.005297333002090454,0.005297333002090454,1.3217696506365704e-05,0.0018545649468257438
1,person,15,0.016755402088165283,0.016755402088165283,2.7991058541598523e-05,0.0017419953608718993
1,person,16,0.05566609650850296,0.05566609650850296,2.8036693941996314e-05,0.002698697693211518
2,car,1,-0.008996124379336834,0.008996124379336834,8.464631910216287e-06,0.003236565887480736
2,car,2,-0.007479712832719088,0.007479712832719088,-4.072021406097485e-05,0.002595447124475303
2,car,3,-0.00786720309406519,0.00786720309406519,-6.744555672316999e-06,0.0010401362716680918
2,car,4,0.00649961968883872,0.00649961968883872,2.981005719772146e-06,0.001685304506180355
2,car,5,0.03556809201836586,0.03556809201836586,4.591692359724367e-06,0.002449567335646523
2,car,6,0.0011001767124980688,0.0011001767124980688,2.424343309369318e-05,0.0020574752809568897
2,car,7,-0.004370593931525946,0.004370593931525946,7.883219246029017e-05,0.0026853295980338076
2,car,8,-0.017456350848078728,0.017456350848078728,8.240243745041475e-06,0.001476437897934054
2,car,9,0.011245819739997387,0.011245819739997387,2.571424841122941e-05,0.0023755153391807116
2,car,10,0.022867325693368912,0.022867325693368912,3.469671382401206e-05,0.0022540259853502435
2,car,11,-0.01313667930662632,0.01313667930662632,-3.3112710297497574e-05,0.003586125206750488
2,car,12,0.03483077511191368,0.03483077511191368,0.00018129940213924812,0.0033185108519451023
2,car,13,-0.004900123458355665,0.004900123458355665,-0.00012534368147030026,0.003593062486909927
2,car,14,0.011943014338612556,0.011943014338612556,4.096825751692821e-05,0.0017004717384411568
2,car,15,-0.006741565186530352,0.006741565186530352,-7.669213413839586e-06,0.0018686269373476307
2,car,16,-0.05633822828531265,0.05633822828531265,-8.513320053696664e-05,0.0030039554919651153
3,motorcycle,1,0.019099164754152298,0.019099164754152298,9.364989512486066e-06,0.0022729901250019254
3,motorcycle,2,-0.087030790746212,0.087030790746212,-5.951611769442605e-05,0.0023001710417600556
3,motorcycle,3,0.004132910631597042,0.004132910631597042,-2.4796318463446137e-06,0.0009656874953772762
3,motorcycle,4,0.00022276665549725294,0.00022276665549725294,-1.689094149425844e-05,0.0014965367251382835
3,motorcycle,5,-0.025646403431892395,0.025646403431892395,-2.1878405684045455e-05,0.0023870271988425647
3,motorcycle,6,0.14254997670650482,0.14254997670650482,8.035877247048701e-05,0.002858522813368303
3,motorcycle,7,-0.027529148384928703,0.027529148384928703,0.00013024347433027752,0.003126464181729173
3,motorcycle,8,-0.005228084046393633,0.005228084046393633,7.202644569878565e-06,0.0009330540554748008
3,motorcycle,9,0.009418250061571598,0.009418250061571598,4.4932049417997055e-05,0.001935489024051067
3,motorcycle,10,0.014891751110553741,0.014891751110553741,2.75127733116375e-05,0.002524941842116303
3,motorcycle,11,0.009756342507898808,0.009756342507898808,-3.942156748033743e-06,0.0025382914513046697
3,motorcycle,12,0.12034536898136139,0.12034536898136139,0.0002088695462976404,0.0033816759573227517
3,motorcycle,13,-0.0587359294295311,0.0587359294295311,-0.00021099458346106212,0.003257853025171085
3,motorcycle,14,-0.005140440538525581,0.005140440538525581,5.0265112984058586e-05,0.0015453780369686135
3,motorcycle,15,-0.015140465460717678,0.015140465460717678,-4.0669862293648194e-05,0.0017222817661142358
3,motorcycle,16,-0.022434866055846214,0.022434866055846214,-7.975091348077725e-05,0.002215076155439656
