split,city,sample_id,image_path,label_path,instance_path,person_pixels,car_pixels,motorcycle_pixels,person_instances,car_instances,motorcycle_instances,has_all_three,passes_minimum,passes_ratio,selection_tier,selection_tier_name,person_ratio,car_ratio,motorcycle_ratio,total_target_pixels,balance_error,balance_score,quantity_score,instance_score,total_area_score,motorcycle_ratio_score,score,pilot_split,pilot_image_path,pilot_label_path,pilot_instance_path,pilot_target_mask_path
train,hamburg,hamburg_000000_091900,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_091900_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_091900_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_091900_gtFine_instanceIds.png",29771,56907,26540,6,7,3,True,True,True,1,Tier 1 - Strong and balanced,0.262952887350068,0.502632090303662,0.23441502234627,113218,0.0370471126499319,0.962952887350068,1.0,1.0,1.0,1.0,98.51811549400271,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\hamburg_000000_091900_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\hamburg_000000_091900_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\hamburg_000000_091900_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\hamburg_000000_091900_targetMask.png"
train,hanover,hanover_000000_026743,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hanover\hanover_000000_026743_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_026743_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_026743_gtFine_instanceIds.png",15889,38564,22113,14,11,4,True,True,True,1,Tier 1 - Strong and balanced,0.2075203092756576,0.5036700363085442,0.2888096544157981,76566,0.0924796907243423,0.9075203092756576,1.0,1.0,1.0,1.0,96.30081237102632,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\hanover_000000_026743_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\hanover_000000_026743_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\hanover_000000_026743_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\hanover_000000_026743_targetMask.png"
train,bremen,bremen_000054_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\bremen\bremen_000054_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000054_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000054_000019_gtFine_instanceIds.png",21508,26166,14071,7,5,2,True,True,True,1,Tier 1 - Strong and balanced,0.3483358976435339,0.4237752044699975,0.2278888978864685,61745,0.0762247955300024,0.9237752044699976,0.9554442712379588,0.9410360288810286,1.0,1.0,94.7298767491541,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\bremen_000054_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\bremen_000054_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\bremen_000054_000019_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\bremen_000054_000019_targetMask.png"
train,weimar,weimar_000017_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\weimar\weimar_000017_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\weimar\weimar_000017_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\weimar\weimar_000017_000019_gtFine_instanceIds.png",43006,64140,30633,11,4,1,True,True,True,1,Tier 1 - Strong and balanced,0.3121375536184759,0.4655281283795063,0.2223343180020177,137779,0.0344718716204936,0.9655281283795064,1.0,0.6933612743506347,1.0,1.0,94.02154425043976,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\weimar_000017_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\weimar_000017_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\weimar_000017_000019_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\weimar_000017_000019_targetMask.png"
train,monchengladbach,monchengladbach_000000_002255,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\monchengladbach\monchengladbach_000000_002255_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\monchengladbach\monchengladbach_000000_002255_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\monchengladbach\monchengladbach_000000_002255_gtFine_instanceIds.png",18405,28822,10721,2,8,1,True,True,True,1,Tier 1 - Strong and balanced,0.3176123420998136,0.4973769586525851,0.1850106992476013,57948,0.0176123420998136,0.9823876579001865,0.9867359540661724,0.6299605249474366,1.0,0.9250534962380064,92.9722602933942,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\monchengladbach_000000_002255_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\monchengladbach_000000_002255_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\monchengladbach_000000_002255_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\monchengladbach_000000_002255_targetMask.png"
train,zurich,zurich_000052_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\zurich\zurich_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000052_000019_gtFine_instanceIds.png",21358,33724,7755,10,8,3,True,True,True,1,Tier 1 - Strong and balanced,0.3398952846253004,0.5366901666215764,0.1234145487531231,62837,0.0765854512468768,0.9234145487531232,0.9187427691596214,1.0,1.0,0.6170727437656157,92.58422874374163,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\zurich_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\zurich_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\zurich_000052_000019_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\zurich_000052_000019_targetMask.png"
train,ulm,ulm_000069_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\ulm\ulm_000069_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\ulm\ulm_000069_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\ulm\ulm_000069_000019_gtFine_instanceIds.png",117420,356878,80308,3,9,4,True,True,True,1,Tier 1 - Strong and balanced,0.2117178681802937,0.6434802364200892,0.144801895399617,554606,0.1434802364200892,0.8565197635799108,1.0,0.9085602964160698,1.0,0.724009476998085,91.5092423744279,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\ulm_000069_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\ulm_000069_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\ulm_000069_000019_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\ulm_000069_000019_targetMask.png"
train,strasbourg,strasbourg_000001_005289,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\strasbourg\strasbourg_000001_005289_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000001_005289_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000001_005289_gtFine_instanceIds.png",20781,30089,9395,2,7,1,True,True,True,1,Tier 1 - Strong and balanced,0.3448270140214055,0.4992781880029868,0.1558947979756077,60265,0.0448270140214054,0.9551729859785943,0.9794123924308914,0.6299605249474366,1.0,0.7794739898780386,90.93606903567226,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\strasbourg_000001_005289_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\strasbourg_000001_005289_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\strasbourg_000001_005289_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\strasbourg_000001_005289_targetMask.png"
train,bremen,bremen_000052_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\bremen\bremen_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000052_000019_gtFine_instanceIds.png",53240,110683,9616,27,10,2,True,True,True,1,Tier 1 - Strong and balanced,0.3067898282230507,0.637798996191058,0.0554111755858913,173539,0.1445888244141086,0.8554111755858913,0.9870325726707948,1.0,1.0,0.2770558779294567,90.21270359320678,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\bremen_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\bremen_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\bremen_000052_000019_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\bremen_000052_000019_targetMask.png"
train,hamburg,hamburg_000000_071675,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_071675_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_071675_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_071675_gtFine_instanceIds.png",20507,71297,10294,15,15,2,True,True,True,1,Tier 1 - Strong and balanced,0.2008560402750298,0.6983192618856393,0.1008246978393308,102098,0.1983192618856393,0.8016807381143607,1.0,1.0,1.0,0.5041234891966542,89.5878469705577,train,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\images\hamburg_000000_071675_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\label_ids\hamburg_000000_071675_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\instance_ids\hamburg_000000_071675_gtFine_instanceIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\processed\pilot_30\train\target_masks\hamburg_000000_071675_targetMask.png"
